#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
33,Mykola Zinchenko Mykolayovych,"June 23, 1965",Kyiv Oblast,Zhytomyr Oblast,Lieutenant,Infantry,"https://example7.com, https://example1.com, https://example7.com, https://example4.com, https://example9.com, https://example2.com"
34,Oleh Kovalenko Petrovych,"November 02, 1987","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Infantry,"https://example5.com, https://example3.com, https://example1.com, https://example3.com, https://example9.com, https://example6.com, https://example9.com, https://example2.com"
35,Oleksandr Lysenko Mykhailovych,"February 20, 1980","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Unknown,"https://example10.com, https://example8.com, https://example5.com, https://example1.com, https://example9.com, https://example8.com"
36,Roman Kravchenko Petrovych,"April 08, 1999","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Sergeant,Battalion 1,"https://example5.com, https://example8.com, https://example8.com, https://example3.com, https://example8.com"
37,Roman Kravchenko Romanovych,"December 01, 1979",Chernivtsi Oblast,Zhytomyr Oblast,Major,Unknown,"https://example7.com, https://example8.com, https://example6.com, https://example2.com, https://example1.com, https://example10.com, https://example7.com, https://example1.com"
38,Volodymyr Shevchenko Oleksandrovych,"July 16, 1968",Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Infantry,"https://example5.com, https://example9.com, https://example10.com, https://example2.com, https://example6.com, https://example6.com"
39,Volodymyr Kravchenko Serhiyovych,"December 22, 1978","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Infantry,"https://example7.com, https://example6.com, https://example3.com, https://example2.com, https://example9.com"
40,Serhiy Hrytsenko Oleksandrovych,"November 18, 1981",Donetsk Oblast,Donetsk Oblast,Colonel,Battalion 1,"https://example7.com, https://example5.com, https://example4.com, https://example4.com, https://example2.com, https://example6.com, https://example5.com"
41,Oleksandr Bondarenko Mykhailovych,"October 27, 2000",Donetsk Oblast,Chernivtsi Oblast,Colonel,Battalion 2,"https://example9.com, https://example2.com, https://example5.com, https://example6.com, https://example6.com, https://example8.com, https://example3.com"
42,Volodymyr Tkachuk Petrovych,"September 27, 1985",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Infantry,"https://example10.com, https://example1.com, https://example5.com, https://example2.com, https://example4.com, https://example3.com, https://example9.com, https://example3.com"
43,Andrij Kravchenko Volodymyrovych,"January 03, 1999","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Colonel,Unknown,"https://example8.com, https://example9.com, https://example9.com"
44,Mykola Kovalenko Yuriyovych,"August 19, 1987",Zhytomyr Oblast,Kyiv Oblast,Senior soldier,Battalion 2,"https://example5.com, https://example8.com, https://example10.com, https://example7.com, https://example4.com, https://example9.com"
45,Volodymyr Lysenko Mykolayovych,"November 08, 1975",Lviv Oblast,Lviv Oblast,Private,Unknown,"https://example8.com, https://example1.com, https://example9.com, https://example2.com, https://example10.com"
46,Andrij Lysenko Volodymyrovych,"June 03, 1971",Kharkiv Oblast,Chernivtsi Oblast,Senior soldier,Special Forces,"https://example4.com, https://example8.com, https://example3.com, https://example8.com"
47,Roman Kovalenko Vasyl'ovych,"January 23, 1976",Odesa Oblast,Lviv Oblast,Sergeant,Battalion 2,"https://example2.com, https://example4.com, https://example8.com, https://example9.com"
48,Mykola Lysenko Yuriyovych,"July 10, 1965",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 1,"https://example6.com, https://example1.com, https://example6.com, https://example4.com, https://example5.com, https://example10.com"
49,Oleh Shevchenko Mykhailovych,"October 27, 1961",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 1,"https://example9.com, https://example10.com, https://example9.com, https://example2.com, https://example2.com, https://example10.com"
50,Roman Kravchenko Yuriyovych,"September 27, 1995",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Recon Squad,"https://example3.com, https://example9.com, https://example2.com, https://example5.com"
51,Serhiy Sakalo Ivanovych,"August 15, 1974",Donetsk Oblast,Lviv Oblast,Colonel,Battalion 2,"https://example10.com, https://example10.com, https://example2.com, https://example7.com"
52,Ihor Tkachuk Volodymyrovych,"December 16, 1967",Kharkiv Oblast,Kyiv Oblast,Captain,Infantry,"https://example10.com, https://example9.com, https://example8.com, https://example5.com, https://example5.com, https://example2.com"
53,Oleh Tkachuk Serhiyovych,"March 15, 1968",Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Special Forces,"https://example4.com, https://example2.com, https://example8.com, https://example2.com, https://example7.com, https://example8.com"
54,Serhiy Bondarenko Romanovych,"March 14, 1990",Donetsk Oblast,Donetsk Oblast,Colonel,Battalion 1,"https://example1.com, https://example1.com, https://example7.com, https://example7.com, https://example9.com, https://example10.com, https://example4.com"
55,Dmytro Shevchenko Serhiyovych,"May 22, 1983",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Battalion 1,"https://example7.com, https://example3.com, https://example5.com, https://example1.com, https://example8.com"
56,Dmytro Tkachuk Romanovych,"August 31, 1975",Zhytomyr Oblast,Zhytomyr Oblast,Colonel,Infantry,"https://example7.com, https://example3.com, https://example5.com"
57,Ihor Sakalo Ivanovych,"September 28, 1986",Chernivtsi Oblast,Lviv Oblast,Senior soldier,Special Forces,"https://example5.com, https://example4.com, https://example5.com, https://example5.com, https://example8.com, https://example9.com"
58,Roman Bibikov Romanovych,"August 26, 1972","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example5.com, https://example2.com, https://example3.com"
59,Serhiy Kravchenko Vasyl'ovych,"November 20, 1971",Kharkiv Oblast,Lviv Oblast,Senior soldier,Battalion 2,"https://example10.com, https://example3.com, https://example10.com, https://example3.com, https://example7.com, https://example5.com"
60,Yuriy Tkachuk Vasyl'ovych,"September 02, 1992","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Unknown,"https://example8.com, https://example10.com, https://example6.com, https://example7.com"
61,Serhiy Sakalo Romanovych,"October 02, 1960",Donetsk Oblast,Zhytomyr Oblast,Sergeant,Battalion 2,"https://example7.com, https://example4.com, https://example10.com, https://example9.com, https://example7.com, https://example9.com"
62,Dmytro Zinchenko Serhiyovych,"December 07, 1975",Lviv Oblast,Lviv Oblast,Sergeant,Infantry,"https://example10.com, https://example8.com, https://example2.com, https://example5.com, https://example4.com, https://example7.com"
63,Yuriy Kovalenko Ivanovych,"August 27, 1962",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Special Forces,"https://example2.com, https://example3.com, https://example8.com"
64,Yuriy Kravchenko Ivanovych,"December 14, 1977","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Captain,Unknown,"https://example2.com, https://example3.com, https://example6.com"
65,Serhiy Tkachuk Petrovych,"September 22, 1974",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Unknown,"https://example9.com, https://example5.com, https://example9.com, https://example4.com"
66,Roman Zinchenko Mykhailovych,"May 15, 2000",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Battalion 2,"https://example4.com, https://example2.com, https://example5.com, https://example5.com, https://example2.com, https://example4.com"
67,Roman Hrytsenko Yuriyovych,"September 04, 1970",Odesa Oblast,Odesa Oblast,Captain,Unknown,"https://example1.com, https://example3.com, https://example10.com, https://example3.com"
68,Roman Hrytsenko Mykolayovych,"December 15, 1992",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Senior soldier,Battalion 1,"https://example8.com, https://example7.com, https://example2.com"
69,Oleksandr Sakalo Yuriyovych,"August 18, 1982",Kharkiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Special Forces,"https://example7.com, https://example10.com, https://example5.com, https://example7.com, https://example4.com"
70,Yuriy Hrytsenko Petrovych,"July 30, 1971",Odesa Oblast,Chernivtsi Oblast,Senior soldier,Recon Squad,"https://example7.com, https://example6.com, https://example9.com, https://example2.com, https://example7.com, https://example8.com, https://example8.com, https://example7.com"
71,Roman Shevchenko Volodymyrovych,"January 01, 1985",Donetsk Oblast,Lviv Oblast,Sergeant,Battalion 1,"https://example1.com, https://example4.com, https://example6.com, https://example10.com, https://example7.com"
72,Serhiy Zinchenko Volodymyrovych,"August 25, 1987",Kyiv Oblast,Chernivtsi Oblast,Major,Unknown,"https://example6.com, https://example8.com, https://example2.com, https://example1.com, https://example6.com, https://example5.com, https://example6.com, https://example10.com"
73,Andrij Zinchenko Oleksandrovych,"October 12, 1972",Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Battalion 1,"https://example4.com, https://example10.com, https://example3.com, https://example2.com, https://example1.com, https://example8.com, https://example10.com"
74,Oleh Shevchenko Mykolayovych,"October 12, 1962",Odesa Oblast,Donetsk Oblast,Captain,Recon Squad,"https://example1.com, https://example4.com, https://example4.com, https://example6.com, https://example7.com"
75,Roman Tkachuk Serhiyovych,"February 17, 1988",Donetsk Oblast,Chernivtsi Oblast,Major,Battalion 2,"https://example6.com, https://example5.com, https://example4.com, https://example2.com"
76,Andrij Tkachuk Romanovych,"March 17, 1983","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 2,"https://example8.com, https://example8.com, https://example6.com, https://example9.com, https://example5.com"
77,Ihor Shevchenko Volodymyrovych,"June 16, 1995","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Unknown,"https://example1.com, https://example4.com, https://example6.com"
78,Oleh Shevchenko Romanovych,"December 09, 1967","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Lieutenant,Infantry,"https://example8.com, https://example2.com, https://example5.com"
79,Ihor Hrytsenko Petrovych,"May 18, 1968",Kharkiv Oblast,Chernivtsi Oblast,Senior soldier,Battalion 2,"https://example6.com, https://example9.com, https://example6.com, https://example4.com"
80,Volodymyr Lysenko Romanovych,"September 15, 1981",Lviv Oblast,Kyiv Oblast,Senior soldier,Infantry,"https://example6.com, https://example9.com, https://example8.com, https://example5.com"
81,Ihor Lysenko Romanovych,"August 28, 1984",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Special Forces,"https://example4.com, https://example1.com, https://example10.com, https://example7.com, https://example7.com, https://example3.com, https://example7.com"
82,Roman Lysenko Ivanovych,"February 15, 1975","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Special Forces,"https://example7.com, https://example10.com, https://example4.com, https://example8.com, https://example4.com, https://example9.com"
83,Ihor Sakalo Vasyl'ovych,"April 30, 1960",Chernivtsi Oblast,Donetsk Oblast,Lieutenant,Recon Squad,"https://example4.com, https://example8.com, https://example10.com"
84,Serhiy Hrytsenko Mykhailovych,"May 18, 1999",Lviv Oblast,Lviv Oblast,Lieutenant,Battalion 1,"https://example3.com, https://example10.com, https://example8.com, https://example3.com, https://example9.com"
85,Roman Bondarenko Serhiyovych,"March 11, 1993",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Special Forces,"https://example1.com, https://example2.com, https://example5.com, https://example9.com, https://example7.com, https://example6.com, https://example6.com, https://example4.com"
86,Serhiy Shevchenko Mykolayovych,"February 26, 1976",Kyiv Oblast,Kharkiv Oblast,Senior soldier,Infantry,"https://example10.com, https://example6.com, https://example5.com, https://example2.com, https://example3.com, https://example3.com"
87,Yuriy Kravchenko Serhiyovych,"February 25, 1993",Zhytomyr Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Infantry,"https://example6.com, https://example6.com, https://example4.com, https://example6.com, https://example10.com, https://example9.com, https://example6.com"
88,Volodymyr Sakalo Oleksandrovych,"February 15, 1960",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Unknown,"https://example3.com, https://example1.com, https://example3.com, https://example8.com, https://example10.com, https://example7.com"
89,Andrij Bondarenko Volodymyrovych,"July 28, 1994",Kyiv Oblast,Zhytomyr Oblast,Sergeant,Infantry,"https://example10.com, https://example10.com, https://example5.com, https://example2.com"
90,Ihor Lysenko Vasyl'ovych,"February 08, 1990",Lviv Oblast,Odesa Oblast,Private,Unknown,"https://example10.com, https://example1.com, https://example4.com, https://example4.com"
91,Dmytro Bondarenko Vasyl'ovych,"December 15, 1996","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example9.com, https://example9.com, https://example3.com, https://example9.com, https://example9.com"
92,Oleh Kovalenko Yuriyovych,"December 07, 1974",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Unknown,"https://example2.com, https://example7.com, https://example4.com, https://example7.com, https://example1.com, https://example5.com, https://example5.com, https://example8.com"
93,Serhiy Lysenko Yuriyovych,"December 24, 1960",Odesa Oblast,Zhytomyr Oblast,Senior soldier,Battalion 1,"https://example9.com, https://example9.com, https://example2.com, https://example5.com, https://example1.com, https://example4.com"
94,Ihor Kovalenko Mykhailovych,"October 11, 1995","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Private,Special Forces,"https://example4.com, https://example1.com, https://example4.com, https://example4.com, https://example5.com, https://example7.com, https://example5.com"
95,Roman Lysenko Mykolayovych,"June 13, 1986","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Captain,Battalion 1,"https://example8.com, https://example2.com, https://example10.com, https://example9.com, https://example7.com, https://example5.com"
96,Dmytro Lysenko Yuriyovych,"April 23, 1983",Odesa Oblast,Donetsk Oblast,Senior soldier,Unknown,"https://example6.com, https://example4.com, https://example1.com, https://example10.com, https://example8.com, https://example8.com, https://example2.com, https://example8.com"
97,Roman Tkachuk Yuriyovych,"October 23, 1963",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Recon Squad,"https://example7.com, https://example5.com, https://example8.com, https://example2.com, https://example10.com, https://example9.com, https://example5.com, https://example5.com"
98,Volodymyr Tkachuk Yuriyovych,"October 29, 2000","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Major,Battalion 1,"https://example3.com, https://example8.com, https://example4.com, https://example3.com, https://example5.com, https://example9.com"
99,Oleksandr Hrytsenko Mykhailovych,"May 31, 1998",Chernivtsi Oblast,Chernivtsi Oblast,Captain,Battalion 2,"https://example2.com, https://example8.com, https://example6.com, https://example6.com, https://example7.com, https://example2.com"
100,Serhiy Zinchenko Mykolayovych,"December 01, 1994",Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Special Forces,"https://example1.com, https://example3.com, https://example9.com, https://example8.com, https://example9.com, https://example2.com"
101,Dmytro Kravchenko Mykhailovych,"March 12, 1988","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Captain,Recon Squad,"https://example8.com, https://example7.com, https://example9.com, https://example6.com, https://example8.com"
102,Oleksandr Bibikov Ivanovych,"October 27, 1966",Donetsk Oblast,Kharkiv Oblast,Sergeant,Battalion 1,"https://example1.com, https://example1.com, https://example4.com, https://example2.com, https://example1.com, https://example9.com"
103,Andrij Lysenko Oleksandrovych,"March 20, 1964",Kyiv Oblast,Odesa Oblast,Captain,Unknown,"https://example2.com, https://example10.com, https://example2.com, https://example6.com"
104,Andrij Hrytsenko Vasyl'ovych,"June 03, 1965","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Zhytomyr Oblast,Major,Unknown,"https://example5.com, https://example3.com, https://example7.com, https://example4.com"
105,Ihor Sakalo Oleksandrovych,"February 21, 1986",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Recon Squad,"https://example1.com, https://example4.com, https://example1.com, https://example9.com"
106,Mykola Kovalenko Volodymyrovych,"December 14, 1963",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lieutenant,Special Forces,"https://example1.com, https://example4.com, https://example10.com, https://example5.com"
107,Roman Bondarenko Ivanovych,"April 25, 1988",Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Recon Squad,"https://example2.com, https://example1.com, https://example4.com, https://example6.com, https://example7.com, https://example3.com"
108,Andrij Kovalenko Yuriyovych,"February 01, 1984",Kharkiv Oblast,Lviv Oblast,Senior soldier,Battalion 1,"https://example1.com, https://example4.com, https://example7.com, https://example5.com"
109,Volodymyr Kovalenko Serhiyovych,"January 21, 1968",Kharkiv Oblast,Zhytomyr Oblast,Senior soldier,Unknown,"https://example8.com, https://example9.com, https://example10.com, https://example5.com, https://example7.com, https://example2.com, https://example6.com, https://example10.com"
110,Andrij Hrytsenko Romanovych,"April 10, 1998","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Major,Unknown,"https://example3.com, https://example5.com, https://example5.com, https://example9.com"
111,Andrij Lysenko Ivanovych,"July 16, 1991","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Private,Infantry,"https://example9.com, https://example6.com, https://example5.com"
112,Serhiy Kovalenko Ivanovych,"April 23, 1978","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Recon Squad,"https://example6.com, https://example5.com, https://example1.com, https://example4.com"
113,Roman Kovalenko Petrovych,"December 16, 1968",Zhytomyr Oblast,Chernivtsi Oblast,Colonel,Battalion 2,"https://example10.com, https://example1.com, https://example7.com, https://example9.com, https://example4.com"
114,Yuriy Shevchenko Oleksandrovych,"December 11, 1961",Donetsk Oblast,Odesa Oblast,Lieutenant,Battalion 1,"https://example2.com, https://example6.com, https://example7.com, https://example6.com, https://example3.com, https://example2.com, https://example8.com, https://example6.com"
115,Volodymyr Hrytsenko Mykhailovych,"June 17, 1978",Kharkiv Oblast,Kyiv Oblast,Sergeant,Battalion 2,"https://example5.com, https://example6.com, https://example6.com, https://example4.com, https://example2.com, https://example6.com"
116,Andrij Sakalo Ivanovych,"August 30, 1991",Kyiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Infantry,"https://example7.com, https://example1.com, https://example10.com, https://example5.com, https://example5.com, https://example9.com"
