#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
27,Mykola Kravchenko Mykolayovych,"February 20, 1960",32,"September 11, 2022",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example2.com, https://example7.com, https://example9.com, https://example10.com, https://example9.com"
28,Oleh Kovalenko Mykhailovych,"May 02, 1988",36,"September 19, 2023",Kharkiv Oblast,Chernivtsi Oblast,Captain,Unknown,"https://example2.com, https://example7.com, https://example2.com, https://example3.com, https://example9.com"
29,Oleh Zinchenko Mykolayovych,"August 13, 1983",19,"December 13, 2022",Odesa Oblast,Odesa Oblast,Sergeant,Infantry,"https://example7.com, https://example3.com, https://example4.com, https://example8.com, https://example4.com"
30,Oleh Tkachuk Romanovych,"February 16, 1991",25,"May 03, 2023",Kyiv Oblast,Odesa Oblast,Captain,Recon Squad,"https://example3.com, https://example1.com, https://example5.com"
31,Oleksandr Kovalenko Vasyl'ovych,"June 23, 1974",35,"October 28, 2022",Zhytomyr Oblast,Lviv Oblast,Captain,Special Forces,"https://example6.com, https://example7.com, https://example3.com, https://example5.com"
32,Dmytro Zinchenko Mykhailovych,"November 28, 1989",91,"June 24, 2022",Zhytomyr Oblast,Chernivtsi Oblast,Lieutenant,Special Forces,"https://example7.com, https://example1.com, https://example9.com, https://example4.com, https://example8.com, https://example9.com, https://example7.com, https://example3.com"
33,Mykola Hrytsenko Vasyl'ovych,"July 29, 1990",39,"January 31, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Sergeant,Unknown,"https://example9.com, https://example6.com, https://example4.com, https://example6.com"
34,Ihor Lysenko Mykhailovych,"December 12, 1980",68,"May 01, 2022",Chernivtsi Oblast,Odesa Oblast,Lieutenant,Special Forces,"https://example9.com, https://example5.com, https://example1.com, https://example10.com, https://example3.com, https://example10.com, https://example8.com, https://example7.com"
35,Serhiy Lysenko Romanovych,"January 28, 1987",36,?,Kharkiv Oblast,Lviv Oblast,Private,Unknown,"https://example9.com, https://example9.com, https://example8.com, https://example3.com, https://example4.com, https://example6.com"
36,Oleh Bondarenko Ivanovych,"June 04, 1972",93,"March 23, 2023",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Infantry,"https://example3.com, https://example7.com, https://example8.com, https://example1.com, https://example1.com, https://example1.com"
37,Yuriy Shevchenko Volodymyrovych,"January 31, 1972",13,?,Donetsk Oblast,Lviv Oblast,Captain,Battalion 2,"https://example9.com, https://example8.com, https://example9.com"
38,Roman Kravchenko Mykolayovych,"February 17, 1976",15,"November 09, 2024",Kharkiv Oblast,Zhytomyr Oblast,Private,Infantry,"https://example2.com, https://example6.com, https://example3.com, https://example10.com, https://example4.com, https://example3.com"
39,Ihor Hrytsenko Vasyl'ovych,"November 14, 1984",96,"September 01, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Senior soldier,Special Forces,"https://example4.com, https://example7.com, https://example2.com, https://example8.com"
40,Ihor Kovalenko Volodymyrovych,"June 09, 1964",8,"October 22, 2024",Lviv Oblast,Odesa Oblast,Private,Infantry,"https://example8.com, https://example6.com, https://example6.com"
41,Mykola Bondarenko Volodymyrovych,"October 09, 1987",2,?,Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Battalion 1,"https://example2.com, https://example2.com, https://example10.com, https://example3.com, https://example7.com"
42,Serhiy Tkachuk Vasyl'ovych,"December 01, 1978",10,?,Zhytomyr Oblast,Donetsk Oblast,Senior soldier,Special Forces,"https://example3.com, https://example10.com, https://example5.com, https://example1.com, https://example6.com, https://example9.com, https://example5.com"
43,Mykola Zinchenko Petrovych,"March 20, 1996",98,"January 29, 2023",Lviv Oblast,Donetsk Oblast,Captain,Recon Squad,"https://example1.com, https://example3.com, https://example8.com, https://example2.com, https://example9.com, https://example9.com"
44,Roman Kovalenko Yuriyovych,"April 30, 1977",72,?,Kharkiv Oblast,Kyiv Oblast,Colonel,Battalion 1,"https://example10.com, https://example6.com, https://example9.com, https://example5.com, https://example6.com"
45,Oleksandr Hrytsenko Oleksandrovych,"June 18, 1986",100,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Major,Recon Squad,"https://example1.com, https://example2.com, https://example2.com, https://example3.com, https://example1.com, https://example1.com, https://example3.com, https://example5.com"
46,Oleh Lysenko Ivanovych,"April 24, 1965",83,?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Infantry,"https://example6.com, https://example1.com, https://example1.com, https://example1.com, https://example5.com, https://example5.com, https://example8.com, https://example6.com"
47,Oleksandr Kravchenko Ivanovych,"February 01, 1980",98,"October 22, 2023",Donetsk Oblast,Zhytomyr Oblast,Sergeant,Special Forces,"https://example2.com, https://example3.com, https://example7.com, https://example7.com, https://example8.com"
48,Ihor Tkachuk Vasyl'ovych,"January 13, 1979",15,?,Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Infantry,"https://example7.com, https://example6.com, https://example6.com, https://example6.com, https://example7.com"
49,Serhiy Zinchenko Yuriyovych,"January 21, 1983",48,?,Lviv Oblast,Odesa Oblast,Senior soldier,Special Forces,"https://example2.com, https://example4.com, https://example4.com, https://example2.com, https://example7.com, https://example10.com, https://example5.com, https://example6.com"
50,Dmytro Hrytsenko Mykhailovych,"March 03, 1970",66,?,Zhytomyr Oblast,Kharkiv Oblast,Senior soldier,Special Forces,"https://example6.com, https://example9.com, https://example9.com, https://example9.com, https://example7.com, https://example10.com, https://example8.com"
51,Ihor Lysenko Mykhailovych,"January 30, 1965",47,?,Kharkiv Oblast,Donetsk Oblast,Sergeant,Unknown,"https://example1.com, https://example8.com, https://example10.com, https://example10.com, https://example1.com, https://example9.com, https://example8.com"
52,Yuriy Tkachuk Oleksandrovych,"July 31, 1979",100,"January 15, 2023",Donetsk Oblast,Donetsk Oblast,Lieutenant,Recon Squad,"https://example4.com, https://example6.com, https://example6.com, https://example1.com, https://example7.com, https://example8.com"
53,Oleksandr Hrytsenko Volodymyrovych,"August 09, 1962",98,?,Kyiv Oblast,Kyiv Oblast,Captain,Recon Squad,"https://example3.com, https://example2.com, https://example5.com, https://example5.com, https://example6.com, https://example8.com"
54,Ihor Hrytsenko Yuriyovych,"June 14, 1973",24,?,Kharkiv Oblast,Odesa Oblast,Senior soldier,Recon Squad,"https://example10.com, https://example6.com, https://example2.com, https://example8.com, https://example2.com, https://example6.com"
55,Yuriy Shevchenko Mykhailovych,"July 22, 1981",33,?,Chernivtsi Oblast,Kharkiv Oblast,Senior soldier,Battalion 1,"https://example4.com, https://example5.com, https://example5.com, https://example4.com, https://example9.com, https://example9.com"
56,Mykola Kravchenko Ivanovych,"April 30, 1971",65,"January 09, 2022",Lviv Oblast,Chernivtsi Oblast,Lieutenant,Infantry,"https://example3.com, https://example3.com, https://example1.com, https://example6.com, https://example9.com"
57,Yuriy Bibikov Oleksandrovych,"April 02, 1964",9,"January 18, 2022",Donetsk Oblast,Odesa Oblast,Private,Recon Squad,"https://example7.com, https://example7.com, https://example5.com, https://example7.com, https://example4.com, https://example10.com"
58,Oleksandr Kravchenko Mykhailovych,"June 01, 1966",11,?,Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Unknown,"https://example9.com, https://example4.com, https://example7.com, https://example2.com, https://example8.com"
59,Yuriy Kravchenko Mykolayovych,"December 07, 1960",9,"May 25, 2024",Zhytomyr Oblast,Chernivtsi Oblast,Lieutenant,Infantry,"https://example2.com, https://example8.com, https://example6.com, https://example9.com, https://example6.com, https://example5.com"
60,Andrij Hrytsenko Mykolayovych,"July 07, 1989",45,"April 22, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Lieutenant,Special Forces,"https://example3.com, https://example8.com, https://example1.com, https://example6.com"
61,Andrij Bondarenko Serhiyovych,"May 21, 1992",83,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Major,Special Forces,"https://example7.com, https://example3.com, https://example7.com, https://example6.com, https://example5.com, https://example10.com, https://example7.com"
62,Oleksandr Zinchenko Volodymyrovych,"May 22, 1985",30,?,Zhytomyr Oblast,Chernivtsi Oblast,Senior soldier,Battalion 2,"https://example2.com, https://example8.com, https://example3.com, https://example7.com, https://example10.com, https://example8.com, https://example9.com"
63,Dmytro Tkachuk Yuriyovych,"May 30, 1962",43,?,Zhytomyr Oblast,Donetsk Oblast,Captain,Infantry,"https://example1.com, https://example6.com, https://example9.com"
64,Volodymyr Kovalenko Yuriyovych,"November 20, 1995",92,?,Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Sergeant,Battalion 1,"https://example8.com, https://example6.com, https://example2.com, https://example1.com, https://example5.com, https://example9.com, https://example2.com"
65,Volodymyr Kovalenko Ivanovych,"November 14, 1986",74,?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Senior soldier,Special Forces,"https://example8.com, https://example10.com, https://example2.com, https://example8.com, https://example2.com, https://example8.com, https://example2.com"
66,Yuriy Lysenko Yuriyovych,"June 03, 1993",15,?,Zhytomyr Oblast,Odesa Oblast,Lieutenant,Unknown,"https://example5.com, https://example4.com, https://example3.com, https://example1.com"
67,Ihor Zinchenko Mykolayovych,"January 21, 1997",40,?,Lviv Oblast,Chernivtsi Oblast,Private,Recon Squad,"https://example4.com, https://example7.com, https://example3.com, https://example3.com, https://example6.com"
68,Roman Kovalenko Yuriyovych,"July 07, 1985",43,"October 14, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Senior soldier,Infantry,"https://example2.com, https://example4.com, https://example3.com, https://example1.com, https://example7.com"
69,Ihor Lysenko Mykolayovych,"September 17, 1981",46,?,Odesa Oblast,Lviv Oblast,Colonel,Special Forces,"https://example7.com, https://example5.com, https://example3.com, https://example6.com, https://example8.com, https://example7.com, https://example8.com"
70,Oleksandr Zinchenko Yuriyovych,"December 20, 1985",97,"October 14, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Lieutenant,Battalion 1,"https://example9.com, https://example8.com, https://example6.com, https://example5.com, https://example7.com, https://example7.com"
71,Andrij Hrytsenko Ivanovych,"May 12, 1976",91,"December 14, 2024",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example3.com, https://example8.com, https://example10.com, https://example7.com, https://example7.com, https://example5.com"
72,Roman Shevchenko Mykhailovych,"September 14, 1976",94,"September 01, 2023",Lviv Oblast,Kyiv Oblast,Colonel,Battalion 2,"https://example2.com, https://example5.com, https://example2.com, https://example8.com, https://example7.com, https://example7.com"
73,Serhiy Sakalo Petrovych,"January 05, 1978",36,"April 03, 2022",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 1,"https://example7.com, https://example2.com, https://example6.com, https://example1.com, https://example6.com, https://example4.com"
74,Yuriy Kovalenko Volodymyrovych,"August 02, 1990",14,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Major,Unknown,"https://example9.com, https://example4.com, https://example3.com"
75,Mykola Sakalo Ivanovych,"January 28, 1967",28,?,Lviv Oblast,Kyiv Oblast,Colonel,Special Forces,"https://example5.com, https://example3.com, https://example9.com, https://example6.com, https://example8.com, https://example6.com, https://example1.com, https://example6.com"
76,Mykola Kovalenko Yuriyovych,"February 05, 1961",78,?,Lviv Oblast,Kharkiv Oblast,Lieutenant,Special Forces,"https://example6.com, https://example8.com, https://example6.com"
77,Yuriy Bibikov Ivanovych,"September 18, 1968",53,?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Recon Squad,"https://example6.com, https://example7.com, https://example7.com, https://example3.com, https://example4.com, https://example7.com, https://example4.com, https://example6.com"
78,Roman Tkachuk Volodymyrovych,"September 03, 1979",47,"July 10, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Kharkiv Oblast,Lieutenant,Recon Squad,"https://example1.com, https://example3.com, https://example8.com, https://example4.com, https://example3.com, https://example10.com, https://example1.com, https://example4.com"
79,Oleksandr Kovalenko Oleksandrovych,"November 08, 2000",76,?,Odesa Oblast,Zhytomyr Oblast,Private,Unknown,"https://example4.com, https://example9.com, https://example4.com, https://example1.com, https://example3.com"
80,Ihor Zinchenko Petrovych,"September 08, 1995",26,"September 29, 2023",Lviv Oblast,Odesa Oblast,Major,Unknown,"https://example1.com, https://example10.com, https://example9.com, https://example2.com, https://example8.com, https://example2.com, https://example4.com, https://example5.com"
81,Serhiy Sakalo Oleksandrovych,"October 09, 1994",15,"June 22, 2022",Zhytomyr Oblast,Chernivtsi Oblast,Private,Infantry,"https://example4.com, https://example2.com, https://example6.com, https://example3.com, https://example10.com"
82,Ihor Bibikov Vasyl'ovych,"January 28, 1976",20,?,Chernivtsi Oblast,Chernivtsi Oblast,Captain,Battalion 2,"https://example2.com, https://example6.com, https://example4.com, https://example1.com, https://example3.com, https://example10.com"
83,Dmytro Kovalenko Serhiyovych,"August 20, 1973",2,?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Donetsk Oblast,Major,Recon Squad,"https://example3.com, https://example8.com, https://example5.com, https://example5.com, https://example8.com, https://example10.com, https://example5.com"
84,Roman Tkachuk Yuriyovych,"July 10, 1995",4,?,Kyiv Oblast,Odesa Oblast,Sergeant,Special Forces,"https://example1.com, https://example4.com, https://example8.com, https://example3.com, https://example1.com, https://example6.com"
85,Serhiy Kravchenko Romanovych,"March 24, 1981",28,"February 23, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Colonel,Special Forces,"https://example5.com, https://example6.com, https://example9.com, https://example9.com, https://example3.com, https://example9.com, https://example2.com"
86,Volodymyr Hrytsenko Yuriyovych,"June 01, 1999",22,?,Donetsk Oblast,Lviv Oblast,Major,Special Forces,"https://example10.com, https://example1.com, https://example6.com, https://example1.com, https://example4.com, https://example7.com, https://example8.com, https://example10.com"
87,Volodymyr Sakalo Serhiyovych,"August 04, 1985",9,"May 11, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kyiv Oblast,Major,Battalion 1,"https://example9.com, https://example8.com, https://example9.com, https://example4.com, https://example1.com, https://example6.com"
88,Ihor Kovalenko Yuriyovych,"October 01, 1992",34,?,Lviv Oblast,Kharkiv Oblast,Major,Special Forces,"https://example3.com, https://example5.com, https://example5.com, https://example4.com"
89,Roman Zinchenko Romanovych,"July 17, 1992",4,"August 29, 2023",Odesa Oblast,Kharkiv Oblast,Private,Battalion 2,"https://example7.com, https://example6.com, https://example1.com, https://example9.com"
90,Serhiy Bondarenko Vasyl'ovych,"August 03, 1975",5,?,Kyiv Oblast,Chernivtsi Oblast,Lieutenant,Battalion 1,"https://example7.com, https://example3.com, https://example5.com, https://example3.com, https://example10.com"
91,Dmytro Lysenko Vasyl'ovych,"December 29, 1980",24,"July 02, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Colonel,Battalion 1,"https://example6.com, https://example3.com, https://example3.com, https://example4.com, https://example6.com"
92,Oleh Shevchenko Vasyl'ovych,"September 19, 1968",68,"March 06, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Captain,Unknown,"https://example5.com, https://example7.com, https://example10.com, https://example7.com, https://example7.com, https://example1.com, https://example8.com"
93,Oleksandr Bibikov Mykolayovych,"February 12, 1966",90,"March 31, 2024",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Special Forces,"https://example2.com, https://example4.com, https://example4.com, https://example6.com, https://example7.com, https://example2.com, https://example1.com, https://example6.com"
94,Dmytro Kovalenko Mykhailovych,"November 17, 1988",32,"November 15, 2023",Kharkiv Oblast,Zhytomyr Oblast,Senior soldier,Battalion 1,"https://example9.com, https://example6.com, https://example8.com, https://example5.com, https://example6.com, https://example1.com, https://example3.com, https://example8.com"
95,Volodymyr Bondarenko Petrovych,"November 02, 1980",6,"April 27, 2024",Donetsk Oblast,Odesa Oblast,Senior soldier,Unknown,"https://example3.com, https://example4.com, https://example1.com, https://example6.com"
96,Serhiy Hrytsenko Oleksandrovych,"April 17, 1997",45,"March 31, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example1.com, https://example1.com, https://example2.com, https://example8.com, https://example6.com, https://example10.com"
97,Oleh Hrytsenko Mykhailovych,"September 04, 1965",18,"June 25, 2024","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kharkiv Oblast,Lieutenant,Special Forces,"https://example3.com, https://example4.com, https://example8.com"
98,Oleksandr Kovalenko Serhiyovych,"March 02, 1983",0,?,Lviv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Senior soldier,Battalion 2,"https://example10.com, https://example1.com, https://example2.com"
99,Roman Shevchenko Petrovych,"September 19, 1964",11,"June 18, 2024",Lviv Oblast,Odesa Oblast,Captain,Battalion 2,"https://example7.com, https://example4.com, https://example4.com"
100,Yuriy Zinchenko Yuriyovych,"October 19, 1999",68,?,Kyiv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example5.com, https://example9.com, https://example1.com, https://example1.com"
101,Serhiy Shevchenko Serhiyovych,"November 29, 1964",63,?,Donetsk Oblast,Odesa Oblast,Sergeant,Unknown,"https://example2.com, https://example9.com, https://example5.com, https://example6.com, https://example9.com"
102,Dmytro Tkachuk Yuriyovych,"November 03, 1987",77,?,Zhytomyr Oblast,Chernivtsi Oblast,Colonel,Battalion 2,"https://example10.com, https://example10.com, https://example8.com, https://example3.com, https://example5.com, https://example5.com, https://example9.com, https://example8.com"
103,Andrij Tkachuk Petrovych,"January 27, 1990",55,"May 06, 2024",Kharkiv Oblast,Chernivtsi Oblast,Private,Unknown,"https://example4.com, https://example6.com, https://example7.com"
104,Mykola Bondarenko Ivanovych,"February 06, 1995",28,"October 12, 2022",Kharkiv Oblast,Kharkiv Oblast,Major,Recon Squad,"https://example10.com, https://example7.com, https://example1.com, https://example9.com, https://example7.com, https://example7.com"
105,Volodymyr Kovalenko Volodymyrovych,"September 08, 1996",76,?,Lviv Oblast,Odesa Oblast,Lieutenant,Battalion 1,"https://example10.com, https://example6.com, https://example7.com, https://example1.com, https://example4.com, https://example6.com, https://example3.com, https://example3.com"
106,Roman Lysenko Oleksandrovych,"October 18, 1973",85,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Major,Battalion 2,"https://example6.com, https://example1.com, https://example5.com"
107,Oleh Hrytsenko Vasyl'ovych,"September 19, 1968",82,"June 18, 2024",Donetsk Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Battalion 2,"https://example8.com, https://example2.com, https://example1.com, https://example4.com"
108,Dmytro Lysenko Vasyl'ovych,"June 06, 1978",39,"April 02, 2023",Kyiv Oblast,Chernivtsi Oblast,Captain,Special Forces,"https://example8.com, https://example5.com, https://example7.com, https://example1.com"
109,Volodymyr Kravchenko Oleksandrovych,"October 21, 1998",65,?,Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Special Forces,"https://example2.com, https://example1.com, https://example3.com, https://example7.com, https://example6.com, https://example3.com, https://example5.com"
110,Andrij Kovalenko Yuriyovych,"March 14, 1960",10,"June 28, 2024",Odesa Oblast,Chernivtsi Oblast,Captain,Battalion 2,"https://example1.com, https://example8.com, https://example3.com, https://example10.com, https://example1.com, https://example4.com"
111,Mykola Tkachuk Yuriyovych,"February 03, 1960",37,?,Kharkiv Oblast,Odesa Oblast,Major,Unknown,"https://example5.com, https://example1.com, https://example1.com, https://example6.com, https://example5.com"
