#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
55,Oleh Shevchenko Yuriyovych,"August 26, 1977","August 06, 2023","December 12, 2023",Odesa Oblast,Kharkiv Oblast,Sergeant,Infantry,"https://example5.com, https://example9.com, https://example4.com, https://example7.com, https://example6.com"
56,Yuriy Shevchenko Petrovych,"June 30, 1990","December 27, 2023",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Kharkiv Oblast,Sergeant,Battalion 1,"https://example8.com, https://example5.com, https://example5.com, https://example3.com, https://example6.com"
57,Yuriy Kravchenko Yuriyovych,"February 07, 1977","November 11, 2023",?,Chernivtsi Oblast,Chernivtsi Oblast,Private,Battalion 1,"https://example3.com, https://example3.com, https://example6.com, https://example2.com"
58,Roman Shevchenko Serhiyovych,"September 15, 1994","March 07, 2023",?,Odesa Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Infantry,"https://example6.com, https://example8.com, https://example1.com, https://example6.com"
59,Serhiy Bondarenko Mykolayovych,"June 25, 1985","April 22, 2023","September 20, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 2,"https://example7.com, https://example9.com, https://example4.com, https://example2.com, https://example1.com, https://example3.com, https://example1.com"
60,Oleh Lysenko Oleksandrovych,"June 17, 1980","September 06, 2024",?,Kharkiv Oblast,Kharkiv Oblast,Colonel,Unknown,"https://example4.com, https://example3.com, https://example4.com, https://example7.com, https://example2.com, https://example8.com, https://example5.com"
61,Serhiy Hrytsenko Ivanovych,"September 21, 1981","January 31, 2022",?,Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Unknown,"https://example10.com, https://example10.com, https://example9.com, https://example9.com, https://example7.com"
62,Andrij Kravchenko Vasyl'ovych,"June 30, 1970","May 02, 2023",?,Zhytomyr Oblast,Zhytomyr Oblast,Lieutenant,Infantry,"https://example1.com, https://example8.com, https://example6.com"
63,Serhiy Kovalenko Volodymyrovych,"August 06, 1966","February 27, 2022","March 19, 2024",Lviv Oblast,Zhytomyr Oblast,Senior soldier,Battalion 2,"https://example9.com, https://example5.com, https://example10.com, https://example2.com, https://example1.com"
64,Yuriy Tkachuk Mykolayovych,"April 14, 1982","August 08, 2022","May 16, 2022",Odesa Oblast,Chernivtsi Oblast,Colonel,Special Forces,"https://example6.com, https://example9.com, https://example6.com"
65,Ihor Hrytsenko Vasyl'ovych,"February 08, 1963","December 19, 2024",?,Kharkiv Oblast,Lviv Oblast,Senior soldier,Special Forces,"https://example3.com, https://example10.com, https://example8.com, https://example1.com, https://example4.com, https://example1.com, https://example1.com, https://example6.com"
66,Serhiy Kravchenko Petrovych,"March 19, 1996","May 26, 2022",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Major,Battalion 2,"https://example3.com, https://example9.com, https://example5.com, https://example9.com"
67,Dmytro Bibikov Mykolayovych,"October 30, 1983","November 26, 2022","September 29, 2023",Odesa Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Recon Squad,"https://example5.com, https://example8.com, https://example8.com, https://example9.com, https://example4.com, https://example2.com, https://example9.com, https://example10.com"
68,Andrij Tkachuk Mykhailovych,"April 19, 1989","January 23, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example5.com, https://example2.com, https://example9.com"
69,Mykola Kravchenko Volodymyrovych,"April 24, 1974","February 26, 2022","May 25, 2023","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Lieutenant,Infantry,"https://example3.com, https://example9.com, https://example1.com, https://example7.com"
70,Ihor Bondarenko Oleksandrovych,"February 13, 1998","February 10, 2022",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Lieutenant,Battalion 2,"https://example10.com, https://example6.com, https://example8.com, https://example8.com, https://example6.com, https://example10.com, https://example9.com, https://example3.com"
71,Oleksandr Hrytsenko Volodymyrovych,"April 10, 1968","December 01, 2023","February 01, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 2,"https://example2.com, https://example9.com, https://example9.com, https://example6.com, https://example5.com, https://example8.com"
72,Oleksandr Tkachuk Petrovych,"November 28, 1984","November 07, 2023",?,Odesa Oblast,Kharkiv Oblast,Lieutenant,Battalion 2,"https://example8.com, https://example8.com, https://example7.com, https://example5.com, https://example10.com, https://example1.com"
73,Ihor Kravchenko Volodymyrovych,"March 25, 1970","January 31, 2023",?,Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Special Forces,"https://example6.com, https://example3.com, https://example5.com, https://example7.com"
74,Ihor Zinchenko Ivanovych,"December 27, 1973","December 18, 2024","September 02, 2023",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Unknown,"https://example8.com, https://example6.com, https://example9.com, https://example1.com, https://example6.com, https://example1.com"
75,Dmytro Sakalo Ivanovych,"June 29, 1977","May 12, 2022","March 13, 2024",Kyiv Oblast,Odesa Oblast,Captain,Unknown,"https://example8.com, https://example9.com, https://example7.com, https://example2.com, https://example6.com"
76,Oleh Kravchenko Oleksandrovych,"March 06, 1985","September 07, 2022",?,Zhytomyr Oblast,Donetsk Oblast,Colonel,Unknown,"https://example2.com, https://example1.com, https://example6.com, https://example7.com"
77,Yuriy Bondarenko Volodymyrovych,"September 09, 1961","February 25, 2024",?,Chernivtsi Oblast,Odesa Oblast,Lieutenant,Infantry,"https://example2.com, https://example8.com, https://example3.com, https://example1.com, https://example1.com, https://example1.com, https://example4.com, https://example9.com"
78,Roman Zinchenko Volodymyrovych,"October 17, 1984","June 11, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Odesa Oblast,Sergeant,Battalion 1,"https://example5.com, https://example10.com, https://example10.com"
79,Volodymyr Kovalenko Mykhailovych,"April 03, 1973","August 22, 2023","August 21, 2023",Kharkiv Oblast,Lviv Oblast,Captain,Recon Squad,"https://example1.com, https://example10.com, https://example6.com, https://example3.com, https://example3.com, https://example2.com, https://example8.com, https://example8.com"
80,Andrij Bibikov Mykhailovych,"August 16, 1989","July 13, 2022","June 25, 2024",Odesa Oblast,Lviv Oblast,Senior soldier,Unknown,"https://example1.com, https://example1.com, https://example4.com"
81,Volodymyr Tkachuk Volodymyrovych,"January 14, 1970","June 19, 2022","August 13, 2024",Kyiv Oblast,Chernivtsi Oblast,Sergeant,Battalion 2,"https://example4.com, https://example5.com, https://example2.com, https://example10.com, https://example5.com"
82,Ihor Sakalo Serhiyovych,"June 23, 1996","June 08, 2024","April 12, 2023",Chernivtsi Oblast,Kyiv Oblast,Captain,Unknown,"https://example2.com, https://example2.com, https://example3.com, https://example3.com, https://example9.com, https://example1.com, https://example5.com, https://example6.com"
83,Volodymyr Sakalo Oleksandrovych,"November 22, 1985","May 04, 2023","October 27, 2024",Odesa Oblast,Kharkiv Oblast,Lieutenant,Battalion 1,"https://example2.com, https://example9.com, https://example9.com, https://example6.com, https://example3.com"
84,Roman Zinchenko Mykhailovych,"May 20, 1987","June 22, 2022",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Chernivtsi Oblast,Colonel,Unknown,"https://example2.com, https://example8.com, https://example1.com, https://example5.com, https://example8.com, https://example2.com"
85,Oleksandr Shevchenko Yuriyovych,"January 04, 1973","March 22, 2022",?,Odesa Oblast,Kyiv Oblast,Sergeant,Battalion 2,"https://example1.com, https://example8.com, https://example2.com, https://example3.com, https://example6.com, https://example8.com, https://example2.com"
86,Roman Tkachuk Petrovych,"January 28, 1983","August 12, 2023",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Colonel,Unknown,"https://example6.com, https://example10.com, https://example1.com, https://example2.com, https://example4.com, https://example9.com"
87,Volodymyr Bibikov Oleksandrovych,"September 27, 1981","May 18, 2024","November 29, 2023","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Sergeant,Infantry,"https://example9.com, https://example7.com, https://example4.com, https://example8.com, https://example8.com"
88,Dmytro Zinchenko Petrovych,"October 16, 1967","March 06, 2022","November 12, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Odesa Oblast,Lieutenant,Infantry,"https://example3.com, https://example8.com, https://example5.com, https://example3.com, https://example3.com"
89,Mykola Shevchenko Mykolayovych,"November 25, 1991","June 05, 2024",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Lieutenant,Infantry,"https://example7.com, https://example10.com, https://example1.com, https://example8.com, https://example9.com, https://example1.com, https://example2.com"
90,Dmytro Sakalo Mykolayovych,"July 20, 1997","March 08, 2023","January 12, 2023",Odesa Oblast,Kyiv Oblast,Major,Battalion 2,"https://example10.com, https://example1.com, https://example6.com, https://example8.com, https://example10.com"
91,Mykola Hrytsenko Volodymyrovych,"July 20, 1960","May 02, 2024","April 19, 2024",Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Unknown,"https://example9.com, https://example8.com, https://example9.com, https://example5.com, https://example10.com"
92,Ihor Shevchenko Mykolayovych,"January 17, 1991","August 08, 2024","May 22, 2022",Lviv Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Recon Squad,"https://example6.com, https://example4.com, https://example1.com, https://example6.com, https://example7.com, https://example2.com, https://example8.com, https://example10.com"
93,Oleh Kovalenko Oleksandrovych,"November 30, 1994","May 28, 2023",?,Odesa Oblast,Lviv Oblast,Major,Battalion 1,"https://example5.com, https://example6.com, https://example9.com, https://example5.com, https://example2.com, https://example5.com"
94,Ihor Bondarenko Oleksandrovych,"January 21, 1989","January 13, 2022","January 09, 2024",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Unknown,"https://example2.com, https://example7.com, https://example2.com, https://example3.com, https://example8.com"
95,Oleh Kovalenko Vasyl'ovych,"May 30, 1993","May 29, 2023",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Senior soldier,Battalion 2,"https://example2.com, https://example2.com, https://example9.com"
96,Ihor Hrytsenko Romanovych,"November 27, 1986","April 22, 2023","January 15, 2024",Lviv Oblast,Kyiv Oblast,Sergeant,Recon Squad,"https://example6.com, https://example4.com, https://example9.com, https://example9.com, https://example1.com, https://example2.com"
97,Oleh Lysenko Romanovych,"March 26, 1969","June 18, 2024","July 26, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Battalion 1,"https://example4.com, https://example7.com, https://example7.com, https://example10.com, https://example8.com, https://example7.com, https://example3.com"
98,Andrij Kovalenko Mykolayovych,"July 18, 1983","October 23, 2024","August 15, 2022",Zhytomyr Oblast,Donetsk Oblast,Captain,Unknown,"https://example8.com, https://example4.com, https://example4.com, https://example3.com"
99,Andrij Tkachuk Mykhailovych,"August 23, 2000","January 12, 2024","December 20, 2023",Odesa Oblast,Donetsk Oblast,Captain,Recon Squad,"https://example1.com, https://example3.com, https://example6.com, https://example10.com, https://example4.com, https://example9.com, https://example10.com, https://example5.com"
100,Ihor Tkachuk Romanovych,"January 26, 1986","September 03, 2024",?,Kyiv Oblast,Lviv Oblast,Colonel,Infantry,"https://example1.com, https://example10.com, https://example8.com, https://example6.com, https://example6.com"
101,Oleh Kovalenko Mykhailovych,"April 15, 1964","April 06, 2023","March 31, 2023",Zhytomyr Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Recon Squad,"https://example1.com, https://example9.com, https://example9.com, https://example4.com, https://example9.com, https://example9.com, https://example2.com"
102,Serhiy Shevchenko Yuriyovych,"May 20, 1989","March 20, 2023",?,Kharkiv Oblast,Lviv Oblast,Private,Unknown,"https://example2.com, https://example3.com, https://example4.com"
103,Serhiy Bondarenko Volodymyrovych,"May 27, 1973","April 16, 2022","October 28, 2024",Kharkiv Oblast,Odesa Oblast,Major,Battalion 2,"https://example8.com, https://example7.com, https://example2.com"
